"","term","estimate","std.error","statistic","p.value","species"
"1","sdss_lcConiferScrub",-0.385514933397383,0.251677366706746,-1.53178229112109,0.127402757936662,"Crowberry"
"2","sdss_lcLichen",-0.0410171012355703,0.136411465091116,-0.300686611702125,0.764014528957057,"Crowberry"
"3","sdss_lcMixedWood",-0.2338758267854,0.192182876474666,-1.21694414755121,0.225283000222282,"Crowberry"
"4","sdss_lcRocky",-0.171887013721726,0.183650426808583,-0.93594671522807,0.350605282615604,"Crowberry"
"5","sdss_lcWetland",-0.0717725643382942,0.169469184553593,-0.423513953450321,0.672446379948509,"Crowberry"
"6","cfs_lcConiferous",-0.239905541848023,0.109570609869503,-2.18950631135253,0.0298987812434634,"Crowberry"
"7","cfs_lcShrubs",-0.0747321255940846,0.0852241286097121,-0.876889289608626,0.381762815587372,"Crowberry"
"8","cfs_lcWetland",-0.218959261939418,0.0960411883685703,-2.27984748688379,0.0238376002385761,"Crowberry"
"9","dist_to_coast",3.92752234372981e-05,0.000139070251283467,0.282412831463455,0.777964567323578,"Crowberry"
"10","ndvi",-7.67804178542735e-05,3.69102130685439e-05,-2.0801943817471,0.0389816375769847,"Crowberry"
"11","dem",-0.000600348471263109,0.00413857786802835,-0.145061538143565,0.884831150293563,"Crowberry"
"12","slope",-0.0188486154905042,0.0192250049389814,-0.980421880271455,0.328246987110689,"Crowberry"
"13","cos(aspect)",0.0231745555100843,0.0520456458758146,0.445273665454758,0.656678655572818,"Crowberry"
"14","TPI",0.176606524206227,0.201730278160358,0.875458685809376,0.382538239836408,"Crowberry"
"15","terrain",0.0774476887930981,0.0718011705745549,1.07864103291575,0.282249403810847,"Crowberry"
"16","pt_kernel",-0.026371972958131,0.0240266534676344,-1.09761323996519,0.273898768599117,"Crowberry"
"17","sdss_lcConiferForest",-0.0900201026828387,0.172160475546962,-0.522884839838183,0.601423147769116,"Kalmia"
"18","sdss_lcConiferScrub",-0.150709332775372,0.0921920605224116,-1.63473223096836,0.103107274651178,"Kalmia"
"19","sdss_lcLichen",-0.322334924993825,0.0921666105868267,-3.49730691995194,0.000537769606361955,"Kalmia"
"20","sdss_lcMixedWood",-0.0527830439187935,0.0925883011083764,-0.570083296560436,0.569028867120409,"Kalmia"
"21","sdss_lcRocky",-0.330507743728112,0.111264318167497,-2.97047381560876,0.00320277092476927,"Kalmia"
"22","sdss_lcWetland",-0.198171686447812,0.102537129026271,-1.93268222281744,0.0541744343279429,"Kalmia"
"23","cfs_lcConiferous",-0.00703126667235842,0.0693202045888005,-0.101431706874887,0.919272506011892,"Kalmia"
"24","cfs_lcMixedwood",0.0863824562380253,0.09620533307331,0.897896753521975,0.369928549403126,"Kalmia"
"25","cfs_lcShrubs",-0.0332547433887388,0.0661481704997787,-0.502731113158301,0.615505743263978,"Kalmia"
"26","cfs_lcWetland",-0.0743268611190991,0.0552410763833766,-1.34549987048163,0.179434658593417,"Kalmia"
"27","dist_to_coast",-7.44540879073698e-05,3.85693686313443e-05,-1.93039426232305,0.0544582992429001,"Kalmia"
"28","ndvi",-7.22692440437533e-05,2.72312935914267e-05,-2.65390418567945,0.00836172882179316,"Kalmia"
"29","dem",0.000370454479022641,0.000919405425738708,0.40292831503033,0.687275157955928,"Kalmia"
"30","slope",0.0148475472412339,0.007759098431464,1.91356603765013,0.0565846976432213,"Kalmia"
"31","cos(aspect)",0.070449315705847,0.021874722563708,3.2205809925438,0.00141332775279857,"Kalmia"
"32","TPI",0.191508844539279,0.069233518452378,2.76612901987651,0.00600857692344581,"Kalmia"
"33","terrain",-0.167405969969624,0.0325556924346476,-5.14214128007492,4.78899779494251e-07,"Kalmia"
"34","pt_kernel",-0.0212355478055927,0.0101318120388992,-2.09592792721211,0.0368888563773185,"Kalmia"
"35","sdss_lcConiferScrub",0.0961678698910945,0.0638471269915549,1.50622078741013,0.13399462025466,"Lingonberry"
"36","sdss_lcLichen",-0.0499292737965499,0.0626171410765506,-0.797373896957551,0.426423069130722,"Lingonberry"
"37","sdss_lcMixedWood",0.0585827185109485,0.0601516598130665,0.973916907580043,0.331577142576887,"Lingonberry"
"38","sdss_lcRocky",-0.00801392176623864,0.0886743725744899,-0.0903747219582144,0.928103191220564,"Lingonberry"
"39","cfs_lcConiferous",0.0287179069565099,0.0615797630202921,0.466352995659412,0.641601147357424,"Lingonberry"
"40","cfs_lcMixedwood",0.495459844567188,0.0997596820888293,4.96653391623697,1.74294415058245e-06,"Lingonberry"
"41","cfs_lcShrubs",0.00489479562547324,0.0558783789273091,0.0875973090028392,0.93030696634506,"Lingonberry"
"42","cfs_lcWetland",0.0241531200178554,0.0509988945019321,0.473600854562452,0.636434189430828,"Lingonberry"
"43","dist_to_coast",0.000153294703217975,3.34757629642586e-05,4.57927436580445,9.36653713826978e-06,"Lingonberry"
"44","ndvi",4.92045899603217e-05,3.80893083299066e-05,1.29182156667538,0.198293525797034,"Lingonberry"
"45","dem",-0.00324948621468019,0.00089481790469902,-3.63144970347144,0.000379705109999641,"Lingonberry"
"46","slope",0.0180128844562727,0.00596188044170214,3.02134278478251,0.00293354390504408,"Lingonberry"
"47","cos(aspect)",-0.000626717250259882,0.0193817204752945,-0.0323354807979378,0.974245069423025,"Lingonberry"
"48","TPI",0.231384763974493,0.0653319819774006,3.54167678633311,0.000521938703368006,"Lingonberry"
"49","terrain",-0.124625732787548,0.0290650196522648,-4.28782551254311,3.11916308440187e-05,"Lingonberry"
"50","pt_kernel",0.0323905360512015,0.0106635057697544,3.03751287339976,0.00278888095613154,"Lingonberry"
"51","sdss_lcConiferForest",0.208233216015614,0.0852255646713974,2.44331870159494,0.0153095311514588,"Cladonia"
"52","sdss_lcConiferScrub",-0.00895069068576504,0.0654093712556148,-0.136841105700075,0.891276620983841,"Cladonia"
"53","sdss_lcLichen",-0.0801652785992103,0.0676073509313658,-1.1857479622385,0.236950737666977,"Cladonia"
"54","sdss_lcMixedWood",-0.126331556867634,0.077622269451868,-1.62751691956095,0.1050024392187,"Cladonia"
"55","sdss_lcRocky",-0.091171381619176,0.0742862098237417,-1.22729887331037,0.220970453361337,"Cladonia"
"56","sdss_lcWetland",-0.00262644891115272,0.0685395762319633,-0.0383201801870475,0.969465786177795,"Cladonia"
"57","cfs_lcConiferous",-0.0560381561824638,0.038603350009427,-1.4516397195782,0.147970398584354,"Cladonia"
"58","cfs_lcShrubs",-0.0438024753388815,0.0336677506925546,-1.30102173260324,0.194558558049663,"Cladonia"
"59","cfs_lcWetland",-0.0671133032568684,0.0298330506730523,-2.24962924483921,0.0254232517651401,"Cladonia"
"60","dist_to_coast",-4.14497331659342e-05,2.84408034358064e-05,-1.45740373542858,0.146374886745233,"Cladonia"
"61","ndvi",-1.59524585160124e-05,1.46935539912218e-05,-1.08567733344449,0.278763319254728,"Cladonia"
"62","dem",0.000324988210584839,0.000675423400669517,0.481162201757731,0.630860646555565,"Cladonia"
"63","slope",0.0084523609370625,0.00402529633690714,2.09981085356735,0.0368401777353409,"Cladonia"
"64","cos(aspect)",0.0112812988149885,0.0157338878952282,0.717006431602317,0.474100795579148,"Cladonia"
"65","TPI",-0.00168462155559962,0.0495230855172451,-0.0340168941010954,0.972893310315518,"Cladonia"
"66","terrain",-0.0451114887968131,0.0194047046341751,-2.32477070108884,0.0209596855325905,"Cladonia"
